Timestamp,To,Subject,Body
2025-06-14T14:29:36.486853,admin@physiolife.physio,Local Web Design for Physio Life Warrandyte,"<p>Hi,</p><p>I'm Will, a web developer, and together with Abbey (our designer), we run Lucent Studio in Warrandyte, offering website and branding design for local businesses.</p><p>I came across PhysioLife Warrandyte and wanted to reach out. We recently worked with Embody Osteopathy in Eltham, helping them refresh their website to better reflect their practice and values. Kath, the owner, was really happy with the process and the result—you can see what we did for them here: <a href=""https://www.embodyhealthcare.com.au/"">embodyhealthcare.com.au</a>.</p><p>I had a look at your current site and wondered if you have been thinking about a refresh, or just exploring what a new website could do for your clinic and community presence. Sometimes a quick chat is all it takes to spark the right ideas—no pressure at all.</p><p>If I have the wrong contact, would you mind passing this on to the right person? Or if you are the one to chat to, would you be open to a quick call or even a coffee nearby? I would love to hear about your goals and see if we might be a good fit.</p><p>Best regards,<br>Will</p><p><a href=""https://lucent.studio/?utm_source=emailoutreach"">lucent.studio</a></p>"
2025-06-14T14:34:24.977499,pm.wmc@compassmedicalgroup.com.au,Local Web Design for Warrandyte Medical Centre,"<p>Hi,</p><p>I'm Will, a web developer, and together with Abbey (our designer), we run Lucent Studio in Warrandyte, offering website and branding design for local businesses.</p><p>I came across Warrandyte Medical Centre and wanted to reach out. We recently worked with Embody Osteopathy in Eltham, helping them refresh their website to feel more welcoming and professional. Kath, the owner, was delighted with the process and the result. If you are curious, you can see their new site here: <a href=""https://www.embodyhealthcare.com.au/"">embodyhealthcare.com.au</a>.</p><p>I had a look at your current website and wondered if you have been thinking about a refresh or just exploring what is possible. Sometimes even a quick chat can spark the right ideas—no pressure at all.</p><p>If I have reached the wrong person, would you mind passing this on to whoever looks after your website? Or just let me know who I should speak to.</p><p>If you are open to a quick call or even grabbing a coffee nearby, Abbey and I would love to hear more about your goals and see if we might be a good fit.</p><p>Best regards,<br>Will</p><p><a href=""https://lucent.studio/?utm_source=emailoutreach"">lucent.studio</a></p>"
2025-06-14T14:39:53.889852,info@warrandytepilatesandphysicaltherapies.com,Local Web Design for Warrandyte Pilates,"<p>Hi,</p><p>I'm Will, a web developer, and together with Abbey (our designer), we run Lucent Studio in Warrandyte, offering website and branding design for local businesses.</p><p>I came across Warrandyte Pilates and Physical Therapies and wanted to reach out. We recently worked with Embody Osteopathy in Eltham, helping them refresh their website to better reflect their welcoming, professional approach. Kath, the owner, was really happy with the process and the result. If you’re curious, you can see their new site here: <a href=""https://www.embodyhealthcare.com.au/"">embodyhealthcare.com.au</a>.</p><p>I had a look at your current site and wondered if you’ve been considering a refresh or just want to explore what’s possible. Sometimes a quick chat can spark the right ideas, no pressure at all.</p><p>If I’ve reached the wrong person, would you mind passing this on to whoever looks after your website? Or just let me know who I should speak to.</p><p>If you’re open to a call or even grabbing a coffee nearby, Abbey and I would love to hear about your goals and see if we’re a good fit.</p><p>Best regards,<br>Will<br><a href=""https://lucent.studio/?utm_source=emailoutreach"">lucent.studio</a><br>0409466685</p>"
2025-06-14T14:44:41.691846,osteo@osteopathymelbourne.org,Local Web Design for Warrandyte Osteopathy,"<p>Hi,</p><p>I'm Will, a web developer, and together with Abbey (our designer), we run Lucent Studio in Warrandyte, offering website and branding design for local businesses.</p><p>I recently came across Warrandyte Osteopathy and wanted to reach out. We just finished a project for Embody Osteopathy in Eltham, refreshing their website to feel more welcoming and aligned with their values. Kath, the owner, was really happy with the process and the result—you can see the site here: <a href=""https://www.embodyhealthcare.com.au/"">embodyhealthcare.com.au</a>.</p><p>I had a look at your current site and wondered if you’ve been thinking about a refresh, or just curious about what’s possible. Sometimes a conversation is all it takes to spark new ideas, no pressure either way.</p><p>If I’ve reached the wrong person, could you please forward this on or let me know who’s best to speak with?</p><p>If you’re open to a quick call or even a coffee nearby, Abbey and I would love to hear about your goals and see if we’re a good fit.</p><p>Best regards,<br>Will<br><a href=""https://lucent.studio/?utm_source=emailoutreach"">lucent.studio</a><br>0409466685</p>"
2025-06-14T14:46:11.951226,info@infinityhealthandosteo.com.au,Local Web Design for Infinity Health and Osteo,"<p>Hi,</p><p>I'm Will, a web developer, and together with Abbey (our designer), we run Lucent Studio in Eltham, offering website and branding design for local businesses.</p><p>I came across Infinity Health and Osteo and noticed you are helping people in the area feel their best. We recently worked with Embody Osteopathy just down the road on Bolton Street, designing a new website that feels warm, welcoming, and easy for clients to use. Kath, the owner, was really happy with the process and the result—you can see the site here: <a href=""https://www.embodyhealthcare.com.au/"">embodyhealthcare.com.au</a>.</p><p>If you have ever wondered what a refreshed website could do for your practice—or just want to chat about what’s possible—I’d love to connect. No pressure, just a conversation. If I’ve reached the wrong person, could you please let me know who might be best to speak with?</p><p>Happy to jump on a quick call or grab a coffee nearby if that’s easier. You can also see more of our work here: <a href=""https://lucent.studio/?utm_source=emailoutreach"">lucent.studio</a>.</p><p>Best regards,<br>Will<br>0409466685</p>"
2025-06-14T14:46:16.027964,hello@themovementjoint.com.au,Local Web Design for The Movement Joint,"<p>Hi,</p><p>I'm Will, a web developer, and together with Abbey (our designer), we run Lucent Studio in Eltham, offering website and branding design for local businesses.</p><p>I came across The Movement Joint and noticed you have a strong presence in the community, with over 15 years of experience and a team of osteopaths open 6 days a week. We recently worked with Embody Osteopathy on Bolton Street, helping them refresh their website to better reflect their practice and values. Kath, the owner, was really happy with the process and the result—you can see their new site here: <a href=""https://www.embodyhealthcare.com.au/"">embodyhealthcare.com.au</a>.</p><p>If you have ever wondered about updating your website or just want to explore what a fresh look could do for your practice, Abbey and I would love to chat. No pressure—sometimes a conversation is all it takes to spark the right ideas.</p><p>If this isn’t the right email for these kinds of enquiries, could you please let me know who I should reach out to?</p><p>Happy to jump on a quick call or meet for a coffee nearby, whatever suits you best.</p><p>Best regards,<br>Will<br><a href=""https://lucent.studio/?utm_source=emailoutreach"">lucent.studio</a><br>0409466685</p>"
2025-06-14T14:46:20.645145,caraharwood@bigpond.com,Local Web Design for Cara Harwood Remedial Massage & Myotherapy,"<p>Hi,</p><p>I'm Will, a web developer, and together with Abbey (our designer), we run Lucent Studio in Eltham, offering website and branding design for local businesses.</p><p>I came across Cara Harwood Remedial Massage & Myotherapy and wanted to reach out. We recently worked with Embody Osteopathy just down the road on Bolton Street, helping them refresh their website to better reflect their practice and values. Kath, the owner, was delighted with the process and the result—you can see the site here: <a href=""https://www.embodyhealthcare.com.au/"">embodyhealthcare.com.au</a>.</p><p>I had a look at your current site and wondered if you have been thinking about a refresh, or just exploring what a new website could do for your business. Sometimes a quick chat is all it takes to spark the right ideas—no pressure at all.</p><p>If this isn’t the best email for Cara, could you please pass this on or let me know who I should contact?</p><p>If you are open to a quick call or even grabbing a coffee nearby, Abbey and I would love to hear more about your goals and see if we might be a good fit.</p><p>Best regards,<br>Will<br><a href=""https://lucent.studio/?utm_source=emailoutreach"">lucent.studio</a><br>0409466685</p>"
2025-06-14T14:46:24.517326,infosomabodywork@gmail.com,Local Web Design for Soma Bodywork,"<p>Hi,</p><p>I'm Will, a web developer, and together with Abbey (our designer), we run Lucent Studio in Eltham, offering website and branding design for local businesses.</p><p>I came across Soma Bodywork and noticed you offer myotherapy, remedial massage, and sports treatment here in Eltham. We recently worked with Embody Osteopathy just down the road on Bolton Street, helping them refresh their website to better reflect their practice and values. Kath, the owner, was really happy with the process and the result—you can see their new site here: <a href=""https://www.embodyhealthcare.com.au/"">embodyhealthcare.com.au</a>.</p><p>If you’ve been thinking about updating your website or just want to explore what’s possible, Abbey and I would love to chat. Sometimes a quick conversation can spark the right ideas, no strings attached.</p><p>If I’ve reached the wrong person, could you please forward this on or let me know who best to speak with?</p><p>Happy to jump on a call or grab a coffee nearby—whatever’s easiest for you.</p><p>Best regards,<br>Will<br><a href=""https://lucent.studio/?utm_source=emailoutreach"">lucent.studio</a><br>0409466685</p>"
2025-06-14T14:46:47.870229,physio@physica.com.au,Local Web Design for Physica Ringwood,"<p>Hi,</p><p>I'm Will, a web developer, and together with Abbey (our designer), we run Lucent Studio in Eltham, offering website and branding design for local businesses.</p><p>I came across Physica Ringwood and noticed the important role you play in supporting the health and movement of the local community. We recently worked with Embody Osteopathy just down the road on Bolton Street, helping them refresh their website to better reflect their values and connect with clients. If you’d like to see what we did, you can check out their new site here: <a href=""https://www.embodyhealthcare.com.au/"">embodyhealthcare.com.au</a>.</p><p>Kath, the owner, was delighted with the process and the end result. Her feedback: “We were extremely happy with the high level of professional and attentive service that Will and Abbey provided. There was excellent communication and a quick turnaround of changes we wanted to make. Will and Abbey were wonderful to deal with, having an excellent insight into the professional design and layout of our website. We are delighted with the end product, it is exactly what we wanted, and we would highly recommend their services.”</p><p>If you’ve been thinking about updating your website or just want to explore what’s possible, Abbey and I would love to chat. No pressure—sometimes a conversation is all it takes to spark the right ideas. If I’ve reached the wrong person, could you please let me know who would be best to speak with?</p><p>Happy to jump on a quick call or meet for a coffee nearby, whatever’s easiest. You can find us here: <a href=""https://lucent.studio/?utm_source=emailoutreach"">lucent.studio</a>.</p><p>Best regards,<br>Will<br>0409466685</p>"
2025-06-14T14:46:51.923387,info@pivotsportsperformance.com.au,Local Web Design for Pivot Sports Performance,"<p>Hi,</p><p>I'm Will, a web developer, and together with Abbey (our designer), we run Lucent Studio in Eltham, offering website and branding design for local businesses.</p><p>I came across Pivot Sports Performance in Ringwood and wanted to reach out. We recently worked with Embody Osteopathy just down the road on Bolton Street in Eltham, helping them refresh their website to better reflect their values and connect with their clients. Kath, the owner, was really happy with the process and the result—you can see their new site here: <a href=""https://www.embodyhealthcare.com.au/"">embodyhealthcare.com.au</a>.</p><p>I had a look at your current site and wondered if you’ve been thinking about a refresh or exploring new ways to showcase what you do. Sometimes a conversation is all it takes to spark the right ideas, no pressure at all.</p><p>If I’ve reached the wrong person, could you please forward this on or let me know who would be best to speak with?</p><p>If you’re open to a quick call or even grabbing a coffee nearby, Abbey and I would love to hear more about your goals and see if we might be a good fit.</p><p>Best regards,<br>Will<br><a href=""https://lucent.studio/?utm_source=emailoutreach"">lucent.studio</a><br>0409466685</p>"
